Data_as_of,DCF Region,DCF Office,Demographic,SFY,TOTAL_ENTRY,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING,Demographic_Type
9/19/2017,Region 3,Norwich Office,Non-Hispanic Other,2017,27,13,8,0,0,1,1,0,0,0,0,0,4,0,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic Other,2017,16,8,4,0,0,0,0,0,0,0,0,2,1,1,Race
9/19/2017,Region 1,Norwalk Office,Non-Hispanic Other,2017,6,2,3,0,1,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic Black,2017,12,10,1,0,0,0,0,0,1,0,0,0,0,0,Race
9/19/2017,Region 3,Norwich Office,Non-Hispanic White,2017,122,57,37,4,2,3,4,7,0,0,0,1,7,0,Race
9/19/2017,Region 5,Waterbury Office,Non-Hispanic Black,2017,60,26,12,2,7,1,0,1,3,0,0,4,1,3,Race
9/19/2017,Region 2,Milford Office,Non-Hispanic Other,2017,13,5,4,0,1,2,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 3,Norwich Office,Hispanic,2017,50,16,19,4,2,0,4,0,3,0,0,1,1,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic Black,2017,8,6,2,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 2,New Haven Office,Hispanic,2017,42,22,7,1,0,2,0,3,2,0,0,1,0,4,Race
9/19/2017,Region 5,Torrington Office,Non-Hispanic White,2017,55,15,18,6,4,4,0,0,1,0,1,0,2,4,Race
9/19/2017,Region 1,Bridgeport Office,Non-Hispanic White,2017,22,6,7,1,2,0,1,1,0,0,0,1,1,2,Race
9/19/2017,Region 2,Milford Office,Non-Hispanic White,2017,91,52,26,11,0,1,0,0,0,0,0,0,0,1,Race
9/19/2017,Region 6,Meriden Office,Non-Hispanic White,2017,35,7,24,0,0,0,0,0,0,0,1,0,3,0,Race
9/19/2017,Region 0,Unassigned_Office,Hispanic,2017,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic White,2017,39,19,11,0,1,0,2,1,3,0,0,0,1,1,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic Black,2017,104,44,28,5,0,0,2,8,4,0,1,5,5,2,Race
9/19/2017,Region 5,Danbury Office,Hispanic,2017,28,12,12,1,0,1,0,1,0,0,0,0,1,0,Race
9/19/2017,Region 1,Norwalk Office,Hispanic,2017,45,26,10,1,7,0,0,0,0,0,1,0,0,0,Race
9/19/2017,Region 0,Gen'l Administration,Non-Hispanic Black,2017,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic Other,2017,4,2,0,0,1,0,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 5,Torrington Office,Hispanic,2017,18,9,5,1,1,0,0,0,1,0,0,0,1,0,Race
9/19/2017,Region 6,Meriden Office,Hispanic,2017,44,15,20,3,0,0,0,2,0,0,1,0,2,1,Race
9/19/2017,Region 2,New Haven Office,Non-Hispanic Other,2017,10,4,2,0,0,1,0,0,1,0,0,0,0,2,Race
9/19/2017,Region 6,New Britain Office,Non-Hispanic Other,2017,11,7,2,0,0,0,1,0,0,0,0,1,0,0,Race
9/19/2017,Region 2,New Haven Office,Non-Hispanic White,2017,18,7,4,1,3,1,0,1,1,0,0,0,0,0,Race
9/19/2017,Region 6,Meriden Office,Non-Hispanic Black,2017,10,6,4,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 6,New Britain Office,Non-Hispanic White,2017,96,36,46,1,1,2,0,3,0,0,0,0,5,2,Race
9/19/2017,Region 5,Danbury Office,Non-Hispanic Black,2017,18,10,1,2,2,1,0,0,0,0,0,0,0,2,Race
9/19/2017,Region 0,Unassigned_Office,Non-Hispanic Black,2017,6,1,1,0,0,0,0,2,1,0,0,1,0,0,Race
9/19/2017,Region 1,Bridgeport Office,Non-Hispanic Other,2017,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic White,2017,22,9,7,0,1,0,1,1,0,0,0,1,2,0,Race
9/19/2017,Region 0,Hotline,Non-Hispanic White,2017,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 0,Unassigned_Office,Non-Hispanic Other,2017,2,1,0,0,0,0,0,1,0,0,0,0,0,0,Race
9/19/2017,Region 0,Gen'l Administration,Non-Hispanic White,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 0,Hotline,Hispanic,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 5,Danbury Office,Non-Hispanic Other,2017,12,7,2,1,0,0,0,0,0,0,0,0,1,1,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic Other,2017,14,7,6,0,0,0,0,1,0,0,0,0,0,0,Race
9/19/2017,Region 5,Waterbury Office,Non-Hispanic Other,2017,23,11,5,3,1,2,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 1,Bridgeport Office,Hispanic,2017,61,23,18,1,6,0,0,1,2,0,0,5,1,4,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic White,2017,106,47,33,11,1,0,3,3,3,0,0,0,5,0,Race
9/19/2017,Region 2,Milford Office,Non-Hispanic Black,2017,30,18,6,0,0,2,1,0,1,0,0,0,0,2,Race
9/19/2017,Region 0,Gen'l Administration,Hispanic,2017,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 5,Danbury Office,Non-Hispanic White,2017,44,23,15,2,0,0,1,0,0,0,0,0,1,2,Race
9/19/2017,Region 6,New Britain Office,Hispanic,2017,92,30,38,4,2,3,1,6,2,0,0,3,3,0,Race
9/19/2017,Region 2,Milford Office,Hispanic,2017,33,17,7,2,0,0,0,1,1,0,0,1,1,3,Race
9/19/2017,Region 1,Bridgeport Office,Non-Hispanic Black,2017,63,23,20,1,4,0,1,3,3,0,0,4,1,3,Race
9/19/2017,Region 4,Manchester Office,Non-Hispanic White,2017,88,31,34,3,2,3,3,1,1,0,3,0,4,3,Race
9/19/2017,Region 4,Manchester Office,Non-Hispanic Other,2017,23,12,6,2,0,1,0,1,0,0,0,0,1,0,Race
9/19/2017,Region 1,Norwalk Office,Non-Hispanic White,2017,17,8,6,1,1,0,0,0,0,0,0,0,0,1,Race
9/19/2017,Region 2,New Haven Office,Non-Hispanic Black,2017,83,31,21,1,3,3,2,5,1,0,2,5,0,9,Race
9/19/2017,Region 4,Manchester Office,Non-Hispanic Black,2017,28,13,9,0,0,0,2,0,0,0,1,0,1,2,Race
9/19/2017,Region 4,Manchester Office,Hispanic,2017,52,30,13,1,0,1,1,0,1,0,2,0,3,0,Race
9/19/2017,Region 6,Meriden Office,Non-Hispanic Other,2017,13,4,9,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Willimantic Office,Hispanic,2017,37,21,7,6,0,1,0,0,1,0,0,0,1,0,Race
9/19/2017,Region 4,Hartford Office,Hispanic,2017,112,43,33,9,0,1,2,3,3,0,1,4,9,4,Race
9/19/2017,Region 6,New Britain Office,Non-Hispanic Black,2017,30,8,6,3,1,0,2,1,1,0,1,2,3,2,Race
9/19/2017,Region 5,Waterbury Office,Non-Hispanic White,2017,93,43,25,5,8,1,1,3,3,0,0,0,2,2,Race
9/19/2017,Region 5,Torrington Office,Non-Hispanic Other,2017,10,7,0,0,1,0,0,0,0,0,1,0,0,1,Race
9/19/2017,Region 1,Norwalk Office,Non-Hispanic Black,2017,27,14,7,1,1,0,0,0,1,0,0,0,0,3,Race
9/19/2017,Region 3,Norwich Office,Non-Hispanic Black,2017,27,13,5,1,1,2,3,0,0,0,0,1,1,0,Race
9/19/2017,Region 5,Waterbury Office,Hispanic,2017,147,80,31,10,9,2,0,3,4,0,1,3,0,4,Race
9/19/2017,Region 3,Middletown Office,Hispanic,2017,8,4,1,0,0,0,3,0,0,0,0,0,0,0,Race
9/19/2017,Region 0,Unassigned_Office,Non-Hispanic White,2017,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Norwich Office,Non-Hispanic Other,2017,27,13,8,0,0,1,1,0,0,0,0,0,4,0,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic Other,2017,16,8,4,0,0,0,0,0,0,0,0,2,1,1,Race
9/19/2017,Region 1,Norwalk Office,Non-Hispanic Other,2017,6,2,3,0,1,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic Black,2017,12,10,1,0,0,0,0,0,1,0,0,0,0,0,Race
9/19/2017,Region 3,Norwich Office,Non-Hispanic White,2017,122,57,37,4,2,3,4,7,0,0,0,1,7,0,Race
9/19/2017,Region 5,Waterbury Office,Non-Hispanic Black,2017,60,26,12,2,7,1,0,1,3,0,0,4,1,3,Race
9/19/2017,Region 2,Milford Office,Non-Hispanic Other,2017,13,5,4,0,1,2,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 3,Norwich Office,Hispanic,2017,50,16,19,4,2,0,4,0,3,0,0,1,1,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic Black,2017,8,6,2,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 2,New Haven Office,Hispanic,2017,42,22,7,1,0,2,0,3,2,0,0,1,0,4,Race
9/19/2017,Region 5,Torrington Office,Non-Hispanic White,2017,55,15,18,6,4,4,0,0,1,0,1,0,2,4,Race
9/19/2017,Region 1,Bridgeport Office,Non-Hispanic White,2017,22,6,7,1,2,0,1,1,0,0,0,1,1,2,Race
9/19/2017,Region 2,Milford Office,Non-Hispanic White,2017,91,52,26,11,0,1,0,0,0,0,0,0,0,1,Race
9/19/2017,Region 6,Meriden Office,Non-Hispanic White,2017,35,7,24,0,0,0,0,0,0,0,1,0,3,0,Race
9/19/2017,Region 0,Unassigned_Office,Hispanic,2017,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic White,2017,39,19,11,0,1,0,2,1,3,0,0,0,1,1,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic Black,2017,104,44,28,5,0,0,2,8,4,0,1,5,5,2,Race
9/19/2017,Region 5,Danbury Office,Hispanic,2017,28,12,12,1,0,1,0,1,0,0,0,0,1,0,Race
9/19/2017,Region 1,Norwalk Office,Hispanic,2017,45,26,10,1,7,0,0,0,0,0,1,0,0,0,Race
9/19/2017,Region 0,Gen'l Administration,Non-Hispanic Black,2017,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 3,Middletown Office,Non-Hispanic Other,2017,4,2,0,0,1,0,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 5,Torrington Office,Hispanic,2017,18,9,5,1,1,0,0,0,1,0,0,0,1,0,Race
9/19/2017,Region 6,Meriden Office,Hispanic,2017,44,15,20,3,0,0,0,2,0,0,1,0,2,1,Race
9/19/2017,Region 2,New Haven Office,Non-Hispanic Other,2017,10,4,2,0,0,1,0,0,1,0,0,0,0,2,Race
9/19/2017,Region 6,New Britain Office,Non-Hispanic Other,2017,11,7,2,0,0,0,1,0,0,0,0,1,0,0,Race
9/19/2017,Region 2,New Haven Office,Non-Hispanic White,2017,18,7,4,1,3,1,0,1,1,0,0,0,0,0,Race
9/19/2017,Region 6,Meriden Office,Non-Hispanic Black,2017,10,6,4,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 6,New Britain Office,Non-Hispanic White,2017,96,36,46,1,1,2,0,3,0,0,0,0,5,2,Race
9/19/2017,Region 5,Danbury Office,Non-Hispanic Black,2017,18,10,1,2,2,1,0,0,0,0,0,0,0,2,Race
9/19/2017,Region 0,Unassigned_Office,Non-Hispanic Black,2017,6,1,1,0,0,0,0,2,1,0,0,1,0,0,Race
9/19/2017,Region 1,Bridgeport Office,Non-Hispanic Other,2017,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 4,Hartford Office,Non-Hispanic White,2017,22,9,7,0,1,0,1,1,0,0,0,1,2,0,Race
9/19/2017,Region 0,Hotline,Non-Hispanic White,2017,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 0,Unassigned_Office,Non-Hispanic Other,2017,2,1,0,0,0,0,0,1,0,0,0,0,0,0,Race
9/19/2017,Region 0,Gen'l Administration,Non-Hispanic White,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 0,Hotline,Hispanic,2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Race
9/19/2017,Region 5,Danbury Office,Non-Hispanic Other,2017,12,7,2,1,0,0,0,0,0,0,0,0,1,1,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic Other,2017,14,7,6,0,0,0,0,1,0,0,0,0,0,0,Race
9/19/2017,Region 5,Waterbury Office,Non-Hispanic Other,2017,23,11,5,3,1,2,0,0,0,0,0,0,1,0,Race
9/19/2017,Region 1,Bridgeport Office,Hispanic,2017,61,23,18,1,6,0,0,1,2,0,0,5,1,4,Race
9/19/2017,Region 3,Willimantic Office,Non-Hispanic White,2017,106,47,33,11,1,0,3,3,3,0,0,0,5,0,Race
11/7/2018,Region 3,Willimantic Office,Hispanic,2018,35,21,6,2,0,0,3,0,0,0,0,0,2,1,Race
11/7/2018,Region 4,Manchester Office,Non-Hispanic White,2018,82,26,42,2,1,3,0,0,0,0,1,0,6,1,Race
11/7/2018,Region 1,Bridgeport Office,Hispanic,2018,56,15,21,3,10,0,0,0,6,0,0,1,0,0,Race
11/7/2018,Region 6,New Britain Office,Non-Hispanic White,2018,67,13,43,3,1,1,0,0,0,0,0,0,6,0,Race
11/7/2018,Region 1,Norwalk Office,Non-Hispanic Black,2018,26,8,10,5,0,0,0,1,1,0,0,0,0,1,Race
11/7/2018,Region 0,Unassigned_Office,Non-Hispanic White,2018,6,1,4,0,0,0,0,1,0,0,0,0,0,0,Race
11/7/2018,Region 5,Danbury Office,Non-Hispanic Other,2018,14,11,1,0,0,0,0,0,0,0,0,0,2,0,Race
11/7/2018,Region 2,New Haven Office,Hispanic,2018,53,33,8,3,3,2,0,1,2,0,0,0,0,1,Race
11/7/2018,Region 4,Hartford Office,Non-Hispanic White,2018,19,4,8,0,0,0,1,3,0,0,0,0,3,0,Race
11/7/2018,Region 3,Norwich Office,Hispanic,2018,46,35,8,1,0,0,0,0,1,0,0,1,0,0,Race
11/7/2018,Region 2,New Haven Office,Non-Hispanic Other,2018,11,8,2,0,0,1,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 6,Meriden Office,Non-Hispanic White,2018,27,12,8,4,1,1,0,0,0,0,0,0,1,0,Race
11/7/2018,Region 6,New Britain Office,Non-Hispanic Other,2018,23,6,12,2,2,0,1,0,0,0,0,0,0,0,Race
11/7/2018,Region 5,Torrington Office,Hispanic,2018,8,4,3,0,0,1,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 2,New Haven Office,Non-Hispanic Black,2018,119,46,34,5,6,2,0,8,10,0,1,3,2,2,Race
11/7/2018,Region 3,Norwich Office,Non-Hispanic Other,2018,36,14,13,1,3,0,0,0,1,0,1,2,1,0,Race
11/7/2018,Region 2,New Haven Office,Non-Hispanic White,2018,15,5,6,2,0,0,0,0,1,0,0,0,0,1,Race
11/7/2018,Region 5,Torrington Office,Non-Hispanic White,2018,55,25,20,4,0,2,0,1,0,0,1,0,1,1,Race
11/7/2018,Region 1,Norwalk Office,Non-Hispanic White,2018,8,4,2,1,0,0,0,0,1,0,0,0,0,0,Race
11/7/2018,Region 3,Norwich Office,Non-Hispanic White,2018,108,43,42,6,2,4,3,0,2,0,0,0,6,0,Race
11/7/2018,Region 1,Norwalk Office,Hispanic,2018,29,16,6,4,1,0,0,0,1,0,0,0,1,0,Race
11/7/2018,Region 1,Norwalk Office,Non-Hispanic Other,2018,8,3,3,0,2,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 0,Unassigned_Office,Non-Hispanic Black,2018,3,0,0,0,0,0,0,2,1,0,0,0,0,0,Race
11/7/2018,Region 4,Manchester Office,Hispanic,2018,51,13,21,7,0,5,1,0,0,0,2,0,2,0,Race
11/7/2018,Region 3,Middletown Office,Non-Hispanic White,2018,42,12,20,3,3,1,1,0,0,0,2,0,0,0,Race
11/7/2018,Region 4,Hartford Office,Non-Hispanic Other,2018,19,7,6,1,1,0,0,0,0,0,0,0,4,0,Race
11/7/2018,Region 5,Danbury Office,Non-Hispanic Black,2018,8,6,0,1,0,0,0,0,0,0,0,0,1,0,Race
11/7/2018,Region 2,Milford Office,Non-Hispanic Black,2018,34,15,12,3,2,0,0,0,0,0,0,1,0,1,Race
11/7/2018,Region 0,Spec Invest. Unit,Non-Hispanic Black,2018,5,5,0,0,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 6,New Britain Office,Non-Hispanic Black,2018,22,11,3,1,1,3,0,1,1,0,0,0,1,0,Race
11/7/2018,Region 4,Hartford Office,Non-Hispanic Black,2018,92,41,22,3,6,0,0,1,3,0,0,1,10,5,Race
11/7/2018,Region 5,Waterbury Office,Non-Hispanic Other,2018,21,11,5,2,0,1,0,0,1,0,1,0,0,0,Race
11/7/2018,Region 1,Bridgeport Office,Non-Hispanic Other,2018,8,6,1,0,0,0,0,0,1,0,0,0,0,0,Race
11/7/2018,Region 3,Willimantic Office,Non-Hispanic Black,2018,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 3,Middletown Office,Non-Hispanic Other,2018,9,4,2,1,0,0,2,0,0,0,0,0,0,0,Race
11/7/2018,Region 2,Milford Office,Non-Hispanic White,2018,51,22,20,4,1,2,2,0,0,0,0,0,0,0,Race
11/7/2018,Region 4,Hartford Office,Hispanic,2018,134,58,37,12,4,3,3,6,1,0,1,1,5,3,Race
11/7/2018,Region 6,New Britain Office,Hispanic,2018,90,28,36,4,3,2,3,4,0,0,1,1,6,2,Race
11/7/2018,Region 5,Danbury Office,Hispanic,2018,39,27,6,3,0,1,0,0,0,0,0,0,2,0,Race
11/7/2018,Region 5,Danbury Office,Non-Hispanic White,2018,37,22,10,4,0,0,0,0,0,0,0,0,1,0,Race
11/7/2018,Region 3,Middletown Office,Hispanic,2018,23,10,13,0,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 0,Unassigned_Office,Non-Hispanic Other,2018,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 3,Willimantic Office,Non-Hispanic White,2018,97,33,36,7,2,2,4,0,2,0,1,0,9,1,Race
11/7/2018,Region 5,Waterbury Office,Non-Hispanic Black,2018,63,31,22,1,2,4,0,0,1,0,1,1,0,0,Race
11/7/2018,Region 3,Willimantic Office,Non-Hispanic Other,2018,16,12,1,0,0,2,0,0,0,0,0,0,1,0,Race
11/7/2018,Region 4,Manchester Office,Non-Hispanic Black,2018,20,5,4,2,0,2,3,1,0,0,3,0,0,0,Race
11/7/2018,Region 1,Bridgeport Office,Non-Hispanic Black,2018,75,26,22,4,7,0,1,4,3,0,0,7,1,0,Race
11/7/2018,Region 3,Norwich Office,Non-Hispanic Black,2018,31,13,11,3,1,0,2,0,0,0,1,0,0,0,Race
11/7/2018,Region 6,Meriden Office,Non-Hispanic Black,2018,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 5,Waterbury Office,Non-Hispanic White,2018,73,25,36,1,6,1,0,0,3,0,0,0,1,0,Race
11/7/2018,Region 5,Torrington Office,Non-Hispanic Other,2018,10,4,2,2,1,1,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 1,Bridgeport Office,Non-Hispanic White,2018,40,17,13,1,3,0,0,0,4,0,0,0,0,2,Race
11/7/2018,Region 2,Milford Office,Hispanic,2018,32,18,4,4,1,2,0,1,0,0,0,0,2,0,Race
11/7/2018,Region 3,Middletown Office,Non-Hispanic Black,2018,6,5,0,0,0,0,0,0,1,0,0,0,0,0,Race
11/7/2018,Region 6,Meriden Office,Non-Hispanic Other,2018,7,4,2,0,0,0,0,0,0,0,0,0,1,0,Race
11/7/2018,Region 2,Milford Office,Non-Hispanic Other,2018,17,8,8,1,0,0,0,0,0,0,0,0,0,0,Race
11/7/2018,Region 5,Waterbury Office,Hispanic,2018,124,53,36,14,1,6,2,2,7,0,0,1,0,2,Race
11/7/2018,Region 4,Manchester Office,Non-Hispanic Other,2018,16,5,6,1,0,0,0,0,1,0,3,0,0,0,Race
11/7/2018,Region 6,Meriden Office,Hispanic,2018,37,15,15,3,0,1,1,0,0,0,0,0,2,0,Race
